都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
092088,,栃木県,小山市,青い鳥こどもクリニック,アオイトリコドモクリニック,無床診療所,栃木県小山市城東2-19-2,,36.3139684166666,139.815920027777,(0285)37-7111,,(0285)37-7112,,,0910802180,月火水木金土,0.375,0.770833333333333,日・祝日　水・土曜午後休診,対応不可,小児科；アレルギー科,0,https://aoitori-kids-clinic.com,
092088,,栃木県,小山市,青木医院,アオキイイン,無床診療所,網戸1850,,36.2652581944444,139.74110425,(0285)45-5545,,(0285)37-8150,,,0910802131,月火水金土,0.375,0.75,木・日曜・祝日・土曜午後休診,かかりつけの方のみ24時間電話対応可,内科;消化器内科;外科;内視鏡内科;こう門外科,0,aoki-iin.net,
092088,,栃木県,小山市,暁クリニック,アカツキクリニック,無床診療所,栃木県小山市犬塚62,,36.3230805,139.832866277777,(0285)24-6868,,(0285)24-6776,3060005004830,医療法人社団星野会,0910810407,月火水金土日,0.354166666666667,0.75,木・祝・日曜午後休診。,緊急時のみ電話対応可,消化器内科:内科;外科;小児科;こう門外科;乳腺外科,0,akatuki6868.byoinnavi.jp/pc/,
092088,,栃木県,小山市,朝日病院,アサヒビョウイン,病院,喜沢660,,36.346362,139.823332138888,(0285)22-1182,,(0285)22-8946,4060005004821,医療法人朝日会,,月火水木金土,0.385416666666667,0.5,日曜・祝日・10/12休診,通院患者のみ緊急時の電話対応可,精神科;心療内科;内科,221,http://www.asahi-hp.or.jp/,
092088,,栃木県,小山市,あらやま医院,アラヤマイイン,無床診療所,大行寺1069-1,,36.3184445277777,139.793203611111,(0285)22-1277,,(0285)22-1277,,,0910802032,月火水金土,0.395833333333333,0.729166666666667,木・日曜・祝日休診（土曜17：00まで）,対応不可,整形外科;内科,0,,
092088,,栃木県,小山市,いしい整形外科,イシイセイケイゲカ,無床診療所,犬塚1-21-8,,36.3075927222222,139.831616583333,(0285)20-3588,,,,,0910801901,月火木金土,0.375,0.75,水・日曜・祝日休診,対応不可,整形外科;リウマチ科;リハビリテーション科,0,,
092088,,栃木県,小山市,石田耳鼻咽喉科クリニック,イシダジビインコウカクリニック,無床診療所,乙女2-7-2,,36.2635320833333,139.760082083333,(0285)41-1718,,(0285)41-1718,,,0910811702,月火水金土,0.375,0.75,木・日曜・祝日・土曜午後休診,対応不可,耳鼻咽喉科,0,https://www.ishida3387.com,
092088,,栃木県,小山市,樹レディスクリニック,イツキレディスクリニック,有床診療所,神鳥谷5-18-15,,36.2946222777777,139.789673,(0285)20-5505,,(0285)20-5506,,医療法人みやび,0910810795,月火水木金土,0.375,0.75,日曜・祝日・水曜午後・土曜午後休診,通院中の方のみ対応可,産婦人科,15,www.itsuki-lc.jp,
092088,,栃木県,小山市,いぬづか眼科,イヌヅカガンカ,無床診療所,犬塚8-10-20,,36.3008799444444,139.833253,(0285)38-7622,,(0285)38-7627,,,0910811173,月火水木金土,0.354166666666667,0.71875,日曜・祝日・土曜午後休診（火曜午前は手術のみ）,対応不可,眼科,0,https://inuzuka-ganka.com/,
092088,,栃木県,小山市,おおきこどもクリニック,オオキコドモクリニック,無床診療所,美しが丘3-35-3,,36.2585089166666,139.776502111111,(0285)41-0025,,(0285)41-0026,1060005007389,医療法人おおきこどもクリニック,0910810936,月火木金土,0.375,0.8125,水･日曜・祝日休診（土曜17：30まで）,対応不可,小児科;アレルギー科,0,http://www.ohkiclinic.com,
