stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type
000001_001,小山駅西口,,36.313336,139.80569,000001_001,0
000001_002,城山町三丁目,,36.315615,139.804831,000001_002,0
000001_003,結城街道入口,,36.318239,139.805309,000001_003,0
000001_004,本郷町公民館入口,,36.320329,139.80576,000001_004,0
000001_005,小山花垣郵便局前,,36.322039,139.806642,000001_005,0
000001_006,花垣町公民館前,,36.324621,139.80846,000001_006,0
000001_007,つくし保育園入口,,36.326137,139.809601,000001_007,0
000001_008,小平産業前,,36.330326,139.812545,000001_008,0
000001_009,喜沢南,,36.332562,139.814396,000001_009,0
000001_010,静林幼稚園,,36.336357,139.817475,000001_010,0
000001_011,喜沢分岐点北,,36.34012,139.819632,000001_011,0
000001_012,桑中学校入口,,36.345128,139.822908,000001_012,0
000001_013,羽川交差点西,【往】,36.350575,139.825704,000001_013,0
000001_014,羽川下田西,【往】,36.351968,139.823076,000001_014,0
000001_015,扶桑センター,【往】,36.3555,139.817834,000001_015,0
000001_016,扶桑町,【往】,36.357885,139.817749,000001_016,0
000001_017,扶桑団地,,36.359381,139.819681,000001_017,0
000001_018,扶桑町,【復】,36.358228,139.818307,000001_018,0
000001_019,扶桑センター,【復】,36.355776,139.81762,000001_019,0
000001_020,羽川下田西,【復】,36.351961,139.823269,000001_020,0
000001_021,羽川交差点西,【復】,36.35108,139.82489,000001_021,0
000001_022,羽川交差点北,,36.351222,139.826836,000001_022,0
000001_023,羽川小学校前,,36.35348,139.828239,000001_023,0
000001_024,桑中学校北,,36.347763,139.832315,000001_024,0
000001_025,桑市民交流センター前,,36.350224,139.835909,000001_025,0
000001_026,大沼前,,36.353297,139.83334,000001_026,0
000001_027,桑農協前,,36.355876,139.829551,000001_027,0
000001_028,橿原神社南,,36.360416,139.83142,000001_028,0
000001_029,羽川上,,36.364048,139.833337,000001_029,0
000001_030,県営羽川住宅前,,36.367733,139.835543,000001_030,0
000001_031,うおとみ小金井店前,,36.369667,139.836666,000001_031,0
000001_032,川東,,36.372668,139.83845,000001_032,0
000001_033,駅前,,36.374528,139.839536,000001_033,0
000001_034,小金井駅西口,,36.374368,139.841795,000001_034,0
000002_002,駅前,,36.374623,139.839706,000002_002,0
000002_003,川東,,36.372939,139.838735,000002_003,0
000002_004,うおとみ小金井店前,,36.369931,139.836984,000002_004,0
000002_005,県営羽川住宅前,,36.367699,139.835669,000002_005,0
000002_006,羽川上,,36.36387,139.833378,000002_006,0
000002_007,橿原神社南,,36.360401,139.831589,000002_007,0
000002_008,桑農協前,,36.355737,139.829706,000002_008,0
000002_009,大沼前,,36.35341,139.83346,000002_009,0
000002_010,桑市民交流センター前,,36.349991,139.835888,000002_010,0
000002_011,桑中学校北,,36.347544,139.83264,000002_011,0
000002_012,羽川小学校前,,36.35337,139.828397,000002_012,0
000002_013,羽川交差点北,,36.351145,139.826986,000002_013,0
000002_023,桑中学校入口,,36.344497,139.822633,000002_023,0
000002_024,喜沢分岐点北,,36.340335,139.819927,000002_024,0
000002_025,静林幼稚園,,36.335924,139.817298,000002_025,0
000002_026,喜沢南,,36.33275,139.814721,000002_026,0
000002_027,小平産業前,,36.329643,139.812213,000002_027,0
000002_028,つくし保育園入口,,36.325745,139.809439,000002_028,0
000002_029,花垣町公民館前,,36.324634,139.808621,000002_029,0
000002_030,小山花垣郵便局前,,36.321957,139.806725,000002_030,0
000002_031,本郷町公民館入口,,36.320018,139.805703,000002_031,0
000002_032,結城街道入口,,36.318056,139.805447,000002_032,0
000002_033,城山町三丁目,,36.315307,139.804786,000002_033,0
000003_002,中央町,,36.312123,139.803147,000003_002,0
000003_003,須賀神社参道入口,,36.309847,139.801956,000003_003,0
000003_004,宮本町,,36.30868,139.801354,000003_004,0
000003_005,天神町,,36.307066,139.800475,000003_005,0
000003_006,第二中学校入口,,36.304093,139.798796,000003_006,0
000003_007,柴内公園東,,36.300879,139.796404,000003_007,0
000003_008,神鳥谷二丁目,,36.298824,139.794733,000003_008,0
000003_009,神鳥谷五丁目,,36.298039,139.792595,000003_009,0
000003_010,小山第三小学校北,,36.299238,139.789481,000003_010,0
000003_011,外城工業団地,,36.300263,139.787062,000003_011,0
000003_012,温水プール館前,,36.300077,139.78027,000003_012,0
000003_013,ふれあい健康センター,,36.295464,139.780338,000003_013,0
000003_014,富士見台団地入口,,36.296988,139.782414,000003_014,0
000003_015,小山クリニック入口,,36.296045,139.784862,000003_015,0
000003_016,小山第三小学校南,,36.294781,139.788411,000003_016,0
000003_017,星野胃腸科外科医院前,,36.293125,139.789086,000003_017,0
000003_018,安房神社入口,,36.288574,139.784841,000003_018,0
000003_019,西堀酒造前,,36.285623,139.780839,000003_019,0
000003_020,粟宮下,,36.282812,139.777988,000003_020,0
000003_021,千駄塚公民館,,36.280992,139.776446,000003_021,0
000003_022,千駄塚,,36.277935,139.774364,000003_022,0
000003_023,長者町入口,,36.27487,139.772699,000003_023,0
000003_024,間々田五丁目,,36.273023,139.770955,000003_024,0
000003_025,間々田四丁目公民館,,36.269239,139.76805,000003_025,0
000003_026,間々田三丁目,,36.267457,139.766548,000003_026,0
000003_027,間々田二丁目,,36.264996,139.764394,000003_027,0
000003_028,間々田分署前,,36.262185,139.761924,000003_028,0
000003_029,車屋美術館前,,36.260537,139.760401,000003_029,0
000003_030,間々田駅西口,,36.257987,139.760691,000003_030,0
000004_002,車屋美術館前,,36.26119,139.760776,000004_002,0
000004_003,間々田分署前,,36.262717,139.762144,000004_003,0
000004_004,間々田二丁目,,36.265344,139.764537,000004_004,0
000004_005,間々田三丁目,,36.267622,139.766462,000004_005,0
000004_006,間々田四丁目公民館,,36.269365,139.767973,000004_006,0
000004_007,間々田五丁目,,36.273108,139.770805,000004_007,0
000004_008,長者町入口,,36.275114,139.772632,000004_008,0
000004_009,千駄塚,,36.277995,139.774219,000004_009,0
000004_010,千駄塚公民館,,36.281169,139.776408,000004_010,0
000004_011,粟宮下,,36.283391,139.778326,000004_011,0
000004_012,西堀酒造前,,36.285863,139.780949,000004_012,0
000004_013,安房神社入口,,36.288864,139.784878,000004_013,0
000004_014,星野胃腸科外科医院前,,36.293172,139.788972,000004_014,0
000004_015,小山第三小学校南,,36.294491,139.788709,000004_015,0
000004_016,小山クリニック入口,,36.295957,139.784766,000004_016,0
000004_017,富士見台団地入口,,36.296868,139.782513,000004_017,0
000004_019,温水プール館前,,36.300114,139.780163,000004_019,0
000004_020,外城工業団地,,36.300592,139.786668,000004_020,0
000004_021,小山第三小学校北,,36.299225,139.789822,000004_021,0
000004_022,神鳥谷五丁目,,36.298207,139.792483,000004_022,0
000004_023,神鳥谷二丁目,,36.298776,139.794532,000004_023,0
000004_024,柴内公園東,,36.30086,139.796267,000004_024,0
000004_025,第二中学校入口,,36.305018,139.799201,000004_025,0
000004_026,天神町,,36.307548,139.800589,000004_026,0
000004_027,宮本町,,36.309246,139.801481,000004_027,0
000004_028,須賀神社参道入口,,36.310627,139.802216,000004_028,0
000004_029,中央町,,36.312769,139.803337,000004_029,0
000005_001,小山駅東口,,36.3123,139.806846,000005_001,0
000005_002,ジョイホン前,,36.313003,139.809351,000005_002,0
000005_003,駅東通り２丁目,,36.314611,139.810891,000005_003,0
000005_004,駅東通り郵便局,,36.317072,139.812881,000005_004,0
000005_005,駅東通り３丁目,,36.319929,139.814723,000005_005,0
000005_006,フレッシュ北,,36.32171,139.815829,000005_006,0
000005_007,城北１丁目歩道橋,,36.323832,139.817156,000005_007,0
000005_008,城北５丁目,,36.325745,139.818403,000005_008,0
000005_009,城北小北,,36.325537,139.821155,000005_009,0
000005_010,城北４丁目,,36.324757,139.823846,000005_010,0
000005_011,渡辺金属,,36.325669,139.825383,000005_011,0
000005_012,丸山公民館入口,,36.3264,139.827214,000005_012,0
000005_013,つむぎの郷,,36.323515,139.832791,000005_013,0
000005_014,西山公園,,36.321965,139.836243,000005_014,0
000005_015,小山高専入口,,36.321153,139.838499,000005_015,0
000005_016,イオンモール小山前,,36.322132,139.839346,000005_016,0
000005_017,東ニュータウン北入口,,36.324228,139.840392,000005_017,0
000005_018,東光高岳南,,36.326201,139.84139,000005_018,0
000005_019,東光高岳北,,36.329155,139.842557,000005_019,0
000006_001,東光高岳北,,36.32944,139.842787,000006_001,0
000006_002,東光高岳南,,36.326603,139.841752,000006_002,0
000006_003,東ニュータウン北入口,,36.324234,139.840564,000006_003,0
000006_004,イオンモール小山前,,36.322093,139.839486,000006_004,0
000006_005,小山高専入口,,36.321032,139.838289,000006_005,0
000006_006,西山公園,,36.321905,139.836015,000006_006,0
000006_007,つむぎの郷,,36.323547,139.832498,000006_007,0
000006_008,丸山公民館入口,,36.326147,139.8277,000006_008,0
000006_009,渡辺金属,,36.325654,139.825495,000006_009,0
000006_010,城北４丁目,,36.324723,139.823583,000006_010,0
000006_011,城北小北,,36.325382,139.821247,000006_011,0
000006_012,城北５丁目,,36.325611,139.818454,000006_012,0
000006_013,城北１丁目歩道橋,,36.323441,139.817076,000006_013,0
000006_014,フレッシュ北,,36.321451,139.815866,000006_014,0
000006_015,駅東通り３丁目,,36.319908,139.814868,000006_015,0
000006_016,駅東通り郵便局,,36.317013,139.813044,000006_016,0
000006_017,駅東通り２丁目,,36.314064,139.810524,000006_017,0
000006_018,ジョイホン前,,36.312944,139.809439,000006_018,0
000007_004,泉崎,,36.31474,139.815563,000007_004,0
000007_005,泉崎東,,36.313498,139.817752,000007_005,0
000007_006,城東５丁目交差点北,,36.313351,139.819897,000007_006,0
000007_007,城東５丁目,,36.314745,139.820265,000007_007,0
000007_008,富士通東門,,36.317461,139.821703,000007_008,0
000007_009,UACJ小山入口,,36.316789,139.824809,000007_009,0
000007_010,土塔通り,,36.312002,139.823609,000007_010,0
000007_011,レゾナック前,,36.311103,139.82571,000007_011,0
000007_012,カワチ薬局前,,36.310258,139.829848,000007_012,0
000007_013,犬塚交差点西,,36.309653,139.83238,000007_013,0
000007_014,大谷分署前,,36.312845,139.834859,000007_014,0
000007_015,東ニュータウン,,36.318363,139.837407,000007_015,0
000007_016,中久喜２丁目,,36.320074,139.838276,000007_016,0
000007_019,中久喜５丁目,,36.323958,139.837833,000007_019,0
000007_020,西山公園北,,36.322469,139.837078,000007_020,0
000007_021,イオンモール小山南,,36.320468,139.840113,000007_021,0
000007_022,高専正門,,36.319263,139.842812,000007_022,0
000008_002,イオンモール小山南,,36.320375,139.840054,000008_002,0
000008_003,中久喜２丁目,,36.320295,139.838571,000008_003,0
000008_004,東ニュータウン,,36.318345,139.837605,000008_004,0
000008_005,大谷分署前,,36.313107,139.83515,000008_005,0
000008_006,犬塚交差点西,,36.309423,139.832726,000008_006,0
000008_007,カワチ薬局前,,36.310113,139.830023,000008_007,0
000008_008,レゾナック前,,36.31101,139.82568,000008_008,0
000008_009,土塔通り,,36.312093,139.823508,000008_009,0
000008_010,UACJ小山入口,,36.316789,139.824707,000008_010,0
000008_011,富士通東門,,36.317435,139.821813,000008_011,0
000008_012,城東５丁目,,36.314762,139.820396,000008_012,0
000008_013,城東５丁目交差点北,,36.313266,139.820055,000008_013,0
000008_014,泉崎東,,36.31337,139.817714,000008_014,0
000008_015,泉崎,,36.314805,139.815233,000008_015,0
000009_002,東京電力前,,36.310277,139.809241,000009_002,0
000009_003,商工会議所前,,36.309707,139.813656,000009_003,0
000009_004,城東公園入口,,36.309341,139.816456,000009_004,0
000009_005,ヤオハン南,,36.309017,139.819012,000009_005,0
000009_006,雨ヶ谷踏切北,,36.307234,139.820319,000009_006,0
